YEAR,Season,pH,DO,TDS,FCO,TN
2022,Wet Rainy ,8.11,7.05,71.8,2419,852
2022,Hot Dry,8.14,8,78.9,65,937
2022,Cool Dry,8.04,7.63,71.03,85,249
2022,Cool Dry,7.94,7.84,71.2,75,341
2022,Wet Rainy ,7.5,4.08,74.91,2435.6,1069
2022,Wet Rainy ,8.25,7.26,64.53,47,451
2022,Wet Rainy ,7.76,6.17,77.21,2430,858
2022,Hot Dry,8.67,7.95,64.8,276,311
2022,Wet Rainy ,7.69,5.59,65.33,53,524
2022,Cool Dry,7.98,7.34,70.4,86,186
2022,Hot Dry,8.24,7.82,67.3,467,574
2023,Wet Rainy ,8.46,7.53,66.44,2419.6,299
2023,Wet Rainy ,7.72,6,68.7,2419.6,494
2023,Wet Rainy ,7.72,6.18,65.5,2419.6,615
2023,Hot Dry,8.18,7.48,66.4,33,465
2023,Hot Dry,7.4,6.06,72.8,2419.6,1170
2023,Wet Rainy ,8.98,9.47,68.23,2419.6,678
2023,Wet Rainy ,7.44,4.06,66.16,2419.6,259
2023,Cool Dry,7.91,7.47,64.8,2419.6,435
2023,Cool Dry,7.66,7.34,64,8,475
2023,Wet Rainy ,9.27,12.59,68.9,2419.6,1110
2024,Cool Dry,7.48,5.14,88.8,2419.6,1986
2024,Hot Dry,8,8.2,70.16,119,
2024,Hot Dry,8.36,8.77,69.7,517,
2024,Wet Rainy ,7.24,5.13,66.31,2419.6,569
2024,Wet Rainy ,7.75,7.01,64.7,2419.6,871
2024,Hot Dry,7.97,8.58,70.11,2419.6,403
2024,Wet Rainy ,7.46,5.41,69.3,2419.6,814
2024,Cool Dry,7.85,7.85,68.35,2419.6,458
2024,Hot Dry,7.64,7.26,72.08,108,
