YEAR,Season,pH,DO,TDS,FCO,TN,,,,,,,,,,
2022,Wet Rainy ,8.53,8.04,74.62,25,634,,,,,,,,,,
2022,Hot Dry,8.3,8.42,80.53,3,483,,,,,,,,,,
2022,Cool Dry,8.1,7.97,72.88,5,285,,,,,,,,,,
2022,Cool Dry,8.13,8.06,73.51,2,237,,,,,,,,,,
2022,Wet Rainy ,7.36,4.05,71,365,284,,,,,,,,,,
2022,Wet Rainy ,8.02,7.15,65.43,11,343,,,,,,,,,,
2022,Wet Rainy ,8.36,7.77,73,3,219,,,,,,,,,,
2022,Hot Dry,8.42,7.73,65.43,74,296,,,,,,,,,,
2022,Wet Rainy ,7.33,3.68,68.14,38,1004,,,,,,,,,,
2022,Cool Dry,8.04,7.67,72.41,7,269,,,,,,,,,,
2022,Hot Dry,8.45,8.34,66.2,0,279,,,,,,,,,,
2023,Wet Rainy ,8.53,8.01,66.6,7,281,,,,,,,,,,
2023,Wet Rainy ,7.95,7.02,67.4,30,128,,,,,,,,,,
2023,Wet Rainy ,7.42,4.65,67.12,5,575,,,,,,,,,,
2023,Hot Dry,7.74,6.81,67.7,2,397,,,,,,,,,,
2023,Hot Dry,7.6,6.95,66.4,57,364,,,,,,,,,,
2023,Wet Rainy ,8.5,7.44,65.07,17,365,,,,,,,,,,
2023,Wet Rainy ,7.14,2.1,67.55,108,739,,,,,,,,,,
2023,Cool Dry,7.91,7.51,66.2,0,271,,,,,,,,,,
2023,Cool Dry,7.99,7.99,65.2,4,545,,,,,,,,,,
2023,Wet Rainy ,8.92,8.97,64.43,5,316,,,,,,,,,,
2024,Hot Dry,7.29,4.5,70.33,9,,,,,,,,,,,
2024,Wet Rainy ,7.92,8.03,66.12,4,445,,,,,,,,,,
2024,Wet Rainy ,7.3,5.18,65.8,38,314,,,,,,,,,,
2024,Cool Dry,8.08,8.76,69.53,1,534,,,,,,,,,,
2024,Wet Rainy ,7.49,5.25,66.3,9,583,,,,,,,,,,
2024,Cool Dry,7.97,7.58,70.92,12,455,,,,,,,,,,
2024,Cool Dry,7.94,7.99,68.94,53,426,,,,,,,,,,
2024,Hot Dry,7.68,7.33,72.05,2,,,,,,,,,,,
